Date,Close,WeeklyRSI,WeeklyMode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
1999-06-11,43.680660247802734,54.66897151873074,상승,매수,200000,0.0,4578.685369346279,99800000.0,200000.0,100000000.0
1999-06-14,42.85687255859375,54.66897151873074,상승,매수,200000,0.0,9245.381468707257,99600000.0,396228.13535997126,99996228.13535997
1999-06-15,43.49610900878906,54.66897151873074,상승,매수,200000,0.0,13843.49391043364,99400000.0,602138.1201907293,100002138.12019072
1999-06-16,45.73024368286133,54.66897151873074,상승,매수,200000,0.0,18216.967215911685,99200000.0,833066.3499463373,100033066.34994633
1999-06-17,46.237701416015625,54.66897151873074,상승,매수,200000,0.0,22542.441750221577,99000000.0,1042310.69083467,100042310.69083467
1999-06-18,46.44857025146485,61.5273637909482,상승,매수,200000,0.0,26848.279344731658,98800000.0,1247064.189274721,100047064.18927473
1999-06-21,47.83914566040039,61.5273637909482,상승,매수,200000,0.0,31028.956011070062,98600000.0,1484398.746303737,100084398.74630374
1999-06-22,46.39584732055664,61.5273637909482,상승,매수,200000,0.0,35339.68663784721,98400000.0,1639614.7056058748,100039614.70560588
1999-06-23,47.127384185791016,61.5273637909482,상승,매수,200000,0.0,39583.50376148677,98200000.0,1865466.9891872907,100065466.98918729
1999-06-24,46.19156265258789,61.5273637909482,상승,매수,200000,0.0,43913.29882610113,98000000.0,2028423.8940076644,100028423.89400767
1999-06-25,46.13224411010742,58.29595384374785,상승,매수,200000,0.0,48248.661301046945,97800000.0,2225819.0211257907,100025819.0211258
1999-06-28,47.22624588012695,58.29595384374785,상승,매수,200000,0.0,52483.594573271344,97600000.0,2478603.141990209,100078603.14199021
1999-06-29,47.8720932006836,58.29595384374785,상승,매수,200000,0.0,56661.39392625941,97400000.0,2712499.530918538,100112499.53091854
1999-06-30,48.61021041870117,58.29595384374785,상승,매수,200000,0.0,60775.75587362215,97200000.0,2954322.281372386,100154322.28137238
1999-07-01,48.93971252441406,58.29595384374785,상승,매수,200000,0.0,64862.41657683384,97000000.0,3174348.0209090374,100174348.02090904
1999-07-02,49.5592155456543,64.32226947561807,상승,매수,200000,0.0,68897.99296354559,96800000.0,3414530.483943329,100214530.48394333
1999-07-06,49.24287796020508,64.32226947561807,상승,매수,200000,0.0,72959.49400257152,96600000.0,3592735.4592069434,100192735.45920694
1999-07-07,49.32195663452149,64.32226947561807,상승,매수,200000,0.0,77014.48317264867,96400000.0,3798504.999271463,100198504.99927147
1999-07-08,49.98099136352539,64.32226947561807,상승,매수,200000,0.0,81016.00444191173,96200000.0,4049260.2183185252,100249260.21831852
1999-07-09,50.48186111450195,63.2411055136311,상승,매수,200000,0.0,84977.82351087125,96000000.0,4289838.684288462,100289838.68428846
1999-07-12,50.21823501586914,63.2411055136311,상승,매수,200000,0.0,88960.44058088177,95800000.0,4467436.312205983,100267436.31220599
1999-07-13,49.98099136352539,63.2411055136311,상승,매수,200000,0.0,92961.96185014483,95600000.0,4646331.012368466,100246331.01236847
1999-07-14,50.83113861083984,63.2411055136311,상승,매수,200000,0.0,96896.55795532335,95400000.0,4925362.368340317,100325362.36834031
1999-07-15,51.2990608215332,63.2411055136311,상승,매수,200000,0.0,100795.26480876439,95200000.0,5170702.4199473495,100370702.41994736
1999-07-16,51.77357864379883,62.09245691384025,상승,매수,200000,0.0,104658.23903691261,95000000.0,5418531.569499091,100418531.56949909
1999-07-19,51.246337890625,62.09245691384025,상승,매수,200000,0.0,108560.95693310373,94800000.0,5563351.480723423,100363351.48072343
1999-07-20,49.26924896240234,62.09245691384025,상승,매수,200000,0.0,112620.2840836479,94600000.0,5548716.814733726,100148716.81473373
1999-07-21,49.506492614746094,62.09245691384025,상승,매수,200000,0.0,116660.15823826389,94400000.0,5775435.262257722,100175435.26225773
1999-07-22,48.24774169921875,62.09245691384025,상승,매수,200000,0.0,120805.42997443798,94200000.0,5828589.181269743,100028589.18126974
1999-07-23,48.32024765014648,61.42477894523502,상승,매수,200000,0.0,124944.48160861134,94000000.0,6037348.293847272,100037348.29384728
1999-07-26,47.13397216796875,61.42477894523502,상승,매수,200000,0.0,129187.70556790913,93800000.0,6089129.71868157,99889129.71868157
1999-07-27,48.08298873901367,61.42477894523502,상승,매수,200000,0.0,133347.18078450946,93600000.0,6411730.992040789,100011730.99204078
