split,sell_rsi,geuk,chim,jung,sang,weight,final_asset,return_rate,mdd
15,70,4,1,0,1,equal,356867755,256.87,-46.77
15,70,3,1,0,1,equal,356782371,256.78,-46.82
15,70,2,1,0,1,equal,356651464,256.65,-46.9
10,70,4,1,0,1,equal,354515683,254.52,-59.09
10,70,3,1,0,1,equal,354515683,254.52,-59.09
10,70,2,1,0,1,equal,354515683,254.52,-59.09
10,70,3,2,0,1,equal,347576222,247.58,-62.54
10,70,2,2,0,1,equal,347576222,247.58,-62.54
10,70,4,2,0,1,equal,347576222,247.58,-62.54
15,70,2,1,0,1,back_weighted,345372760,245.37,-38.21
