Date,Close,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2010-01-04,40.290775299072266,1차 매수,1,2500000.0,0.0,62048.942504652296,0.0,97500000.0,2500000.0,100000000.0,100000000.0,0.0
2010-01-05,40.290775299072266,2차 매수,2,2500000.0,0.0,124097.88500930459,40.290775299072266,95000000.0,5000000.0,100000000.0,100000000.0,0.0
2010-01-06,40.047760009765625,3차 매수,3,2500000.0,0.0,186523.34899007095,40.290775299072266,92500000.0,7469842.316572121,99969842.31657211,100000000.0,-0.00030157683427885175
2010-01-07,40.07380676269531,4차 매수,4,2500000.0,0.0,248908.23832200357,40.209443164132985,90000000.0,9974700.644158883,99974700.64415888,100000000.0,-0.00025299355841115116
2010-01-08,40.40361022949219,5차 매수,5,2500000.0,0.0,310783.8971010092,40.17544805834575,87500000.0,12556791.444071783,100056791.44407178,100056791.44407178,0.0
2010-01-11,40.238712310791016,6차 매수,6,2500000.0,0.0,372913.1218309358,40.220874107699736,85000000.0,15005543.826273987,100005543.826274,100056791.44407178,-0.0005121853005494142
2010-01-12,39.73529815673828,7차 매수,7,2500000.0,0.0,435829.47368863673,40.22384604315536,82500000.0,17317814.082512304,99817814.0825123,100056791.44407178,-0.0023884171989770465
2010-01-13,40.23004150390625,8차 매수,8,2500000.0,0.0,497972.08917058335,40.15331926014317,80000000.0,20033437.81511947,100033437.81511948,100056791.44407178,-0.00023340373617080598
2010-01-14,40.264739990234375,9차 매수,9,2500000.0,0.0,560061.1527186489,40.16289353347448,77500000.0,22550716.692847345,100050716.69284734,100056791.44407178,-6.071303243657267e-05
2010-01-15,39.79605484008789,10차 매수,10,2500000.0,0.0,622881.4501085718,40.17418435608415,75000000.0,24788224.34739419,99788224.3473942,100056791.44407178,-0.002684146601160062
2010-01-19,40.43833541870117,11차 매수,11,2500000.0,0.0,684703.975049691,40.13604835341036,72500000.0,27688289.005577404,100188289.0055774,100188289.0055774,0.0
2010-01-20,39.85680770874024,12차 매수,12,2500000.0,0.0,747428.5168210525,40.16334211876635,70000000.0,29790114.670965612,99790114.67096561,100188289.0055774,-0.003974260251012195
2010-01-21,39.48359298706055,13차 매수,13,2500000.0,0.0,810745.9560626963,40.13761761137423,67500000.0,32011163.345084775,99511163.34508477,100188289.0055774,-0.006758531034050635
2010-01-22,38.32919692993164,14차 매수,14,2500000.0,0.0,875970.3854857851,40.08653975634104,65000000.0,33575241.41007279,98575241.41007279,100188289.0055774,-0.016100161121773572
2010-01-25,38.45938491821289,15차 매수,15,2500000.0,0.0,940974.0251777994,39.95568866245418,62500000.0,36189282.232353136,98689282.23235314,100188289.0055774,-0.01496189612680995
2010-01-26,38.49410629272461,16차 매수,16,2500000.0,0.0,1005919.0321092241,39.8523221646998,60000000.0,38721954.14388713,98721954.14388713,100188289.0055774,-0.014635791031511062
2010-01-27,38.797882080078125,17차 매수,17,2500000.0,0.0,1070355.5391030863,39.76463186716676,57500000.0,41527527.989879996,99027527.98988,100188289.0055774,-0.01158579537806845
2010-01-28,37.79974365234375,18차 매수,18,2500000.0,0.0,1136493.55376777,39.706432533262024,55000000.0,42959164.994962856,97959164.99496286,100188289.0055774,-0.022249347031871664
2010-01-29,37.14008712768555,19차 매수,19,2500000.0,0.0,1203806.2660779255,39.59547315584269,52500000.0,44709469.60698796,97209469.60698795,100188289.0055774,-0.029732211500523964
2010-02-01,37.548038482666016,20차 매수,20,2500000.0,0.0,1270387.6402595388,39.458176401388826,50000000.0,47700564.00436843,97700564.00436842,100188289.0055774,-0.024830496916366008
2010-02-02,37.88653564453125,21차 매수,21,2500000.0,0.0,1336374.1433131867,39.35806553485128,47500000.0,50630586.61506496,98130586.61506496,100188289.0055774,-0.02053835244554267
2010-02-03,38.09485626220703,22차 매수,22,2500000.0,0.0,1401999.801086837,39.28540541037416,45000000.0,53408980.902045906,98408980.9020459,100188289.0055774,-0.017759641582784612
2010-02-04,36.99253082275391,23차 매수,23,2500000.0,0.0,1469581.0112500049,39.22967746312356,42500000.0,54363520.85519967,96863520.85519966,100188289.0055774,-0.0331851974255459
2010-02-05,37.30499267578125,24차 매수,24,2500000.0,0.0,1536596.1698301868,39.126798427458795,40000000.0,57322708.86114864,97322708.86114864,100188289.0055774,-0.028601947122474915
2010-02-08,37.03594207763672,25차 매수,25,2500000.0,0.0,1604098.1654526922,39.04734449951854,37500000.0,59409286.74254923,96909286.74254924,100188289.0055774,-0.032728398653914734
2010-02-09,37.41784286499024,26차 매수,26,2500000.0,0.0,1670911.2099411308,38.96270274853278,35000000.0,62521893.09492795,97521893.09492795,100188289.0055774,-0.026613848156454817
2010-02-10,37.33971405029297,27차 매수,27,2500000.0,0.0,1737864.0526070585,38.9009299915404,32500000.0,64891346.78263086,97391346.78263086,100188289.0055774,-0.027916857855420966
2010-02-11,37.90388488769531,28차 매수,28,2500000.0,0.0,1803820.3525327048,38.84078268305269,30000000.0,68371799.00048162,98371799.00048162,100188289.0055774,-0.018130761819823645
2010-02-12,37.98201370239258,29차 매수,29,2500000.0,0.0,1869640.9806749804,38.80652521838692,27500000.0,71012729.3465518,98512729.3465518,100188289.0055774,-0.016724106935615175
2010-02-16,38.468074798583984,30차 매수,30,2500000.0,0.0,1934629.936142334,38.777498326885166,25000000.0,74421489.09110306,99421489.09110306,100188289.0055774,-0.0076535882794809594
2010-02-17,38.68506622314453,31차 매수,31,2500000.0,0.0,1999254.3569867862,38.76710403311061,22500000.0,77341287.19694406,99841287.19694406,100188289.0055774,-0.003463496702833453
2010-02-18,38.92808532714844,32차 매수,32,2500000.0,0.0,2063475.3424010496,38.76445222148,20000000.0,80327144.19945489,100327144.19945489,100327144.19945489,0.0
2010-02-19,38.910736083984375,33차 매수,33,2500000.0,0.0,2127724.962213022,38.76954493040484,17500000.0,82791344.46397653,100291344.46397653,100327144.19945489,-0.0003568300061166397
2010-02-22,38.8326301574707,34차 매수,34,2500000.0,0.0,2192103.8103585695,38.773808394010054,15000000.0,85125156.53443663,100125156.53443663,100327144.19945489,-0.002013290287787918
2010-02-23,38.32919692993164,35차 매수,35,2500000.0,0.0,2257328.239781658,38.775535902241906,12500000.0,86521578.63808712,99021578.63808712,100327144.19945489,-0.013013084063992111
2010-02-24,38.71976852416992,36차 매수,36,2500000.0,0.0,2321894.7414754746,38.76263914921984,10000000.0,89903226.92741774,99903226.92741774,100327144.19945489,-0.0042253497338106405
2010-02-25,38.71108627319336,37차 매수,37,2500000.0,0.0,2386475.7243586956,38.7614470166759,7500000.0,92383067.65453108,99883067.65453108,100327144.19945489,-0.004426285114235565
2010-02-26,38.8499641418457,38차 매수,38,2500000.0,0.0,2450825.8481032685,38.76008419270932,5000000.0,95214496.31672056,100214496.31672056,100327144.19945489,-0.0011228056338410215
2010-03-01,39.41415786743164,39차 매수,39,2500000.0,0.0,2514254.83238878,38.76244412613893,2500000.0,99097236.88272426,101597236.88272426,101597236.88272426,0.0
2010-03-02,39.5356559753418,40차 매수,40,2500000.0,0.0,2577488.8913243203,38.77888539538603,0.0,101902714.08766347,101902714.08766347,101902714.08766347,0.0
2010-03-03,39.57904815673828,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,102014556.95318323,102014556.95318323,102014556.95318323,0.0
2010-03-04,39.70925521850586,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,102350164.20846115,102350164.20846115,102350164.20846115,0.0
2010-03-05,40.30814743041992,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,103893802.23177029,103893802.23177029,103893802.23177029,0.0
2010-03-08,40.386268615722656,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,104095158.71906519,104095158.71906519,104095158.71906519,0.0
2010-03-09,40.6119384765625,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,104676820.27848658,104676820.27848658,104676820.27848658,0.0
2010-03-10,40.9417610168457,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,105526934.2121749,105526934.2121749,105526934.2121749,0.0
2010-03-11,41.09799957275391,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,105929637.35442488,105929637.35442488,105929637.35442488,0.0
2010-03-12,41.10665893554688,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,105951956.7658297,105951956.7658297,105951956.7658297,0.0
2010-03-15,41.00250625610352,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,105683504.39156277,105683504.39156277,105951956.7658297,-0.002533717945957751
2010-03-16,41.26289367675781,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,106354650.0757398,106354650.0757398,106354650.0757398,0.0
2010-03-17,41.37574005126953,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,106645510.35246998,106645510.35246998,106645510.35246998,0.0
2010-03-18,41.51460647583008,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107003437.01915272,107003437.01915272,107003437.01915272,0.0
2010-03-19,41.26351165771485,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,106356242.91479161,106356242.91479161,107003437.01915272,-0.006048348748323474
2010-03-22,41.63711166381836,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107319192.7803221,107319192.7803221,107319192.7803221,0.0
2010-03-23,41.92386245727539,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,108058289.76503605,108058289.76503605,108058289.76503605,0.0
2010-03-24,41.7240104675293,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107543173.48155643,107543173.48155643,108058289.76503605,-0.004767022359873495
2010-03-25,41.663185119628906,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107386396.82303223,107386396.82303223,108058289.76503605,-0.006217875032677205
2010-03-26,41.706634521484375,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107498387.17364939,107498387.17364939,108058289.76503605,-0.005181486701336136
2010-03-29,41.906497955322266,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,108013532.95414849,108013532.95414849,108058289.76503605,-0.00041419136824097705
2010-03-30,42.04551315307617,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,108371843.08208443,108371843.08208443,108371843.08208443,0.0
2010-03-31,41.84567642211914,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107856766.12796411,107856766.12796411,108371843.08208443,-0.004752866976066714
2010-04-01,41.84567642211914,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,107856766.12796411,107856766.12796411,108371843.08208443,-0.004752866976066714
2010-04-05,42.23666000366211,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,108864521.96608132,108864521.96608132,108864521.96608132,0.0
2010-04-06,42.35831069946289,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,109178075.2831297,109178075.2831297,109178075.2831297,0.0
2010-04-07,42.25404739379883,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,108909337.77100784,108909337.77100784,109178075.2831297,-0.0024614604298982055
2010-04-08,42.34961700439453,관망,40,0.0,0.0,2577488.8913243203,38.79745140186414,0.0,109155667.38066645,109155667.38066645,109178075.2831297,-0.00020524177958942093
