Date,Close,RSI,Mode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
1999-03-12,42.23077774047852,,침체,매수,2000000,0.0,47358.824701042264,98000000.0,2000000.0,100000000.0
1999-03-19,43.206153869628906,,침체,매수,2000000,0.0,93648.52699749844,96000000.0,4046192.6671180143,100046192.66711801
1999-03-26,43.654293060302734,,침체,매수,2000000,0.0,139463.03594481456,94000000.0,6088160.242214469,100088160.24221447
1999-04-02,45.18325805664063,,침체,매수,2000000,0.0,183727.21887497974,92000000.0,8301394.3424571045,100301394.3424571
1999-04-09,47.08124923706055,,침체,매수,2000000,0.0,226206.97530475765,90000000.0,10650106.983484896,100650106.9834849
1999-04-16,43.83881378173828,,침체,매수,2000000,0.0,271828.64768753387,88000000.0,11916645.46651554,99916645.46651554
1999-04-23,46.659461975097656,,침체,매수,2000000,0.0,314692.40811982105,86000000.0,14683378.450518703,100683378.4505187
1999-04-30,45.315067291259766,,침체,매수,2000000,0.0,358827.83855281863,84000000.0,16260307.649998272,100260307.64999828
1999-05-07,44.682376861572266,,침체,매수,2000000,0.0,403588.2148012908,82000000.0,18033280.710640453,100033280.71064046
1999-05-14,45.05144500732422,,침체,매수,2000000,0.0,447981.9073826242,80000000.0,20182232.264724508,100182232.26472451
1999-05-21,44.60331344604492,,침체,매수,2000000,0.0,492821.62545467576,78000000.0,21981477.433144253,99981477.43314426
1999-05-28,43.89153289794922,,침체,매수,2000000,0.0,538388.5006114431,76000000.0,23630696.586464707,99630696.5864647
1999-06-04,44.33967971801758,,침체,매수,2000000,0.0,583494.8255267151,74000000.0,25871973.6809751,99871973.6809751
1999-06-11,43.680660247802734,54.66897151873074,상승,매수,1000000,0.0,606388.2523734465,73000000.0,26487439.230183374,99487439.23018338
1999-06-18,46.44857025146485,61.5273637909482,상승,매수,1000000,0.0,627917.4403459969,72000000.0,29165867.340031024,101165867.34003103
1999-06-25,46.13224411010742,58.29595384374785,상승,매수,1000000,0.0,649594.252720726,71000000.0,29967240.63903534,100967240.63903534
1999-07-02,49.5592155456543,64.32226947561807,상승,매수,1000000,0.0,669772.1346542847,70000000.0,33193381.58780469,103193381.58780469
1999-07-09,50.48186111450195,63.2411055136311,상승,매수,1000000,0.0,689581.2299990823,69000000.0,34811343.8799811,103811343.8799811
1999-07-16,51.77357864379883,62.09245691384025,상승,매수,1000000,0.0,708896.1011398234,68000000.0,36702088.042645015,104702088.042645
1999-07-23,48.32024765014648,61.42477894523502,상승,매수,1000000,0.0,729591.3593106902,67000000.0,35254035.16529955,102254035.16529955
1999-07-30,47.74027633666992,53.110775532593046,상승,매수,1000000,0.0,750538.033203985,66000000.0,35830893.106338985,101830893.10633898
1999-08-06,46.672664642333984,53.970669222990125,상승,매수,1000000,0.0,771963.8508139991,65000000.0,36029609.92504652,101029609.92504652
1999-08-13,48.636566162109375,60.72960755878647,상승,매수,1000000,0.0,792524.5128612934,64000000.0,38545670.9048718,102545670.90487179
1999-08-20,48.900177001953125,60.50356461701188,상승,매수,1000000,0.0,812974.3365901535,63000000.0,39754588.95730393,102754588.95730393
1999-08-27,50.50822067260742,65.15556439775483,상승,매수,1000000,0.0,832773.0938356713,62000000.0,42061887.19366209,104061887.19366209
1999-09-03,52.8543701171875,71.22350442544383,과열,전량매도,0,44015697.32522589,0.0,106015697.32522589,0.0,106015697.32522589
1999-09-10,53.249794006347656,71.15147254078326,과열,관망,0,0.0,0.0,106015697.32522589,0.0,106015697.32522589
1999-09-17,53.407958984375,73.65383541487827,과열,관망,0,0.0,0.0,106015697.32522589,0.0,106015697.32522589
1999-09-24,50.6795768737793,60.30833945966239,상승,매수,1000000,0.0,19731.814306393353,105015697.32522589,1000000.0,106015697.32522589
1999-10-01,50.7916145324707,61.46613590996412,상승,매수,1000000,0.0,39420.1035880957,104015697.32522589,2002210.706276622,106017908.03150252
1999-10-08,53.78361511230469,60.623148696895576,상승,매수,1000000,0.0,58013.12672184966,103015697.32522589,3120155.67906932,106135853.00429522
1999-10-15,50.50822067260742,50.05927294823816,상승,매수,1000000,0.0,77811.8839673675,102015697.32522589,3930139.8063751208,105945837.131601
1999-10-22,52.2744026184082,51.10264080153944,상승,매수,1000000,0.0,96941.70563744535,101015697.32522589,5067569.751007031,106083267.07623293
1999-10-29,55.46413040161133,65.91306067969334,상승,매수,1000000,0.0,114971.3762147911,100015697.32522589,6376787.402829889,106392484.72805578
1999-11-05,57.52030944824219,70.44081208428152,과열,전량매도,0,6613189.137565056,0.0,106628886.46279095,0.0,106628886.46279095
1999-11-12,60.89457321166992,77.11056129993823,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-11-19,63.926116943359375,78.00581125279005,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-11-26,65.53421020507812,79.0382540735354,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-12-03,66.7467269897461,78.74472873718605,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-12-10,67.40579986572266,77.39455390893613,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-12-17,70.67462158203125,79.60145794412873,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-12-24,76.10502624511719,82.70035376331889,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
1999-12-31,77.08037567138672,90.05997989595119,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-01-07,75.92049407958984,86.95485241531034,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-01-14,78.76748657226562,86.898976352418,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-01-21,81.19278717041016,96.48566838656122,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-01-28,72.54624938964844,75.41307084259996,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-02-04,81.957275390625,78.73070135731818,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-02-11,84.25067901611328,78.83957600360996,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-02-18,83.03805541992188,75.05963814503158,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-02-25,87.78306579589844,75.99077325213938,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-03-03,93.68799591064452,78.04616044782982,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-03-10,96.5877685546875,78.76016136117276,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-03-17,93.47711181640624,73.99316270281768,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-03-24,99.1711654663086,75.1044579899625,과열,관망,0,0.0,0.0,106628886.46279095,0.0,106628886.46279095
2000-03-31,92.36994934082033,63.99090931762131,상승,매수,1000000,0.0,10826.031703343999,105628886.46279095,1000000.0,106628886.46279095
2000-04-07,89.94473266601562,60.79648070062251,상승,매수,1000000,0.0,21943.970134638446,104628886.46279095,1973744.5273910859,106602630.99018204
2000-04-14,67.80123901367188,44.96075504269219,중립,관망,0,0.0,21943.970134638446,104628886.46279095,1487828.3640074986,106116714.82679845
2000-04-21,73.6007080078125,46.906591506186,중립,관망,0,0.0,21943.970134638446,104628886.46279095,1615091.7384116822,106243978.20120263
2000-04-28,79.92740631103516,49.276214741346784,중립,관망,0,0.0,21943.970134638446,104628886.46279095,1753924.617028468,106382811.07981943
2000-05-05,77.1331558227539,52.81192007349349,상승,매수,1000000,0.0,34908.56349703015,103628886.46279095,2692607.6677649254,106321494.13055588
2000-05-12,71.38636779785156,43.21486804557642,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2491995.5530936494,106120882.01588461
2000-05-19,68.90837860107422,40.17554155178435,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2405492.509872993,106034378.97266394
2000-05-26,65.58686828613281,39.11899396449481,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2289543.35613782,105918429.81892878
2000-06-02,78.97844696044922,45.04454392236429,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2757024.1306156693,106385910.59340662
2000-06-09,79.0838851928711,41.20638288919103,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2760704.8278471828,106389591.29063813
2000-06-16,79.50560760498047,39.39787507939781,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2775426.551448424,106404313.01423937
2000-06-23,77.18586730957031,39.78850756501075,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2694447.750049479,106323334.21284042
2000-06-30,78.82022857666016,36.55984768111549,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2751500.954118771,106380387.41690972
2000-07-07,80.92913818359375,41.9450382355134,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2825119.9590419093,106454006.42183286
2000-07-14,84.88333892822266,46.51160418346476,중립,관망,0,0.0,34908.56349703015,103628886.46279095,2963155.4268157915,106592041.88960674
2000-07-21,81.82542419433594,63.116381701979,상승,매수,1000000,0.0,47129.703929189636,102628886.46279095,3856408.016159403,106485294.47895035
2000-07-28,73.28434753417969,49.71855141605303,중립,관망,0,0.0,47129.703929189636,102628886.46279095,3453869.6019297275,106082756.06472068
2000-08-04,76.02597045898438,46.29261629123445,중립,관망,0,0.0,47129.703929189636,102628886.46279095,3583081.4786612513,106211967.9414522
2000-08-11,76.81678009033203,49.68746014868178,중립,관망,0,0.0,47129.703929189636,102628886.46279095,3620352.1024510176,106249238.56524196
2000-08-18,80.34920501708984,59.25926334607703,상승,매수,1000000,0.0,59575.37778230748,101628886.46279095,4786834.243401202,106415720.70619215
2000-08-25,82.69535827636719,64.28185637174855,상승,매수,1000000,0.0,71667.95493347004,100628886.46279095,5926607.210157842,106555493.6729488
2000-09-01,86.57044219970703,71.49029913873436,과열,전량매도,0,6204326.550139177,0.0,106833213.01293012,0.0,106833213.01293012
2000-09-08,80.24375915527344,51.515121062966415,상승,매수,1000000,0.0,12462.028331262223,105833213.01293012,1000000.0,106833213.01293012
2000-09-15,77.02765655517578,47.70851903709405,중립,관망,0,0.0,12462.028331262223,105833213.01293012,959920.8382813369,106793133.85121146
2000-09-22,78.39845275878906,48.7917346010835,중립,관망,0,0.0,12462.028331262223,105833213.01293012,977003.7394071523,106810216.75233728
2000-09-29,74.86604309082031,47.53360005944071,중립,관망,0,0.0,12462.028331262223,105833213.01293012,932982.7500473012,106766195.76297742
2000-10-06,70.01557159423828,41.23821607770084,중립,관망,0,0.0,12462.028331262223,105833213.01293012,872536.036836916,106705749.04976705
2000-10-13,68.53931427001953,37.51328092982271,중립,관망,0,0.0,12462.028331262223,105833213.01293012,854138.8762382686,106687351.8891684
2000-10-20,72.80988311767578,37.90922421217406,중립,관망,0,0.0,12462.028331262223,105833213.01293012,907358.8262083667,106740571.8391385
2000-10-27,67.24762725830078,36.09856789292802,중립,관망,0,0.0,12462.028331262223,105833213.01293012,838041.836103106,106671254.84903324
2000-11-03,70.06832122802734,46.557626163318375,중립,관망,0,0.0,12462.028331262223,105833213.01293012,873193.4042676591,106706406.41719778
2000-11-10,60.525535583496094,35.51726581277967,중립,관망,0,0.0,12462.028331262223,105833213.01293012,754270.9392063482,106587483.95213647
2000-11-17,61.43497467041016,35.65989584148332,중립,관망,0,0.0,12462.028331262223,105833213.01293012,765604.3948730285,106598817.40780315
2000-11-24,59.41830062866211,29.919071116626824,침체,매수,2000000,0.0,46121.6917487522,103833213.01293012,2740472.545829843,106573685.55875997
2000-12-01,53.98789596557617,23.997158912057927,침체,매수,2000000,0.0,83167.03245392142,101833213.01293012,4490013.0958880065,106323226.10881813
2000-12-08,57.36217880249024,23.301319296690338,침체,매수,2000000,0.0,118033.21155925859,99833213.01293012,6770642.186094349,106603855.19902447
2000-12-15,53.8824577331543,24.580669476610524,침체,매수,2000000,0.0,155151.0433015435,97833213.01293012,8359919.53295021,106193132.54588033
2000-12-22,51.03545379638672,24.756893812758605,침체,매수,2000000,0.0,194339.48684863703,95833213.01293012,9918203.90187712,105751416.91480725
2000-12-29,49.24287796020508,21.914777888907462,침체,매수,2000000,0.0,234954.49723889632,93833213.01293012,11569835.633736312,105403048.64666644
2001-01-05,47.76664733886719,22.818715319101017,침체,매수,2000000,0.0,276824.7165534644,91833213.01293012,13222988.610291205,105056201.62322134
2001-01-12,52.9202766418457,32.95669498173108,중립,관망,0,0.0,276824.7165534644,91833213.01293012,14649640.58130986,106482853.59423998
2001-01-19,55.93864440917969,37.81240042569653,중립,관망,0,0.0,276824.7165534644,91833213.01293012,15485199.382956203,107318412.39588633
2001-01-26,55.29280090332031,31.779575943252567,중립,관망,0,0.0,276824.7165534644,91833213.01293012,15306413.937508786,107139626.95043892
2001-02-02,51.92119216918945,33.296990024006874,중립,관망,0,0.0,276824.7165534644,91833213.01293012,14373069.305353826,106206282.31828395
2001-02-09,47.576847076416016,26.27627382339311,침체,매수,2000000,0.0,318861.97044689034,89833213.01293012,15170447.206436384,105003660.2193665
2001-02-16,46.50553131103516,31.993982937284528,중립,관망,0,0.0,318861.97044689034,89833213.01293012,14828845.350516228,104662058.36344635
2001-02-23,43.17344284057617,27.920525994243743,침체,매수,2000000,0.0,365186.7448547427,87833213.01293012,15766369.055122308,103599582.06805244
2001-03-02,39.394325256347656,26.7792387704894,침체,매수,2000000,0.0,415955.47834581166,85833213.01293012,16386285.406114578,102219498.4190447
2001-03-09,38.04459381103516,29.57864723570772,침체,매수,2000000,0.0,468525.3654087111,83833213.01293012,17824857.217141237,101658070.23007137
2001-03-16,34.754722595214844,20.97995580992017,침체,매수,2000000,0.0,526071.501607058,81833213.01293012,18283469.10360142,100116682.11653155
2001-03-23,36.10441589355469,25.859105114055765,침체,매수,2000000,0.0,581466.387537259,79833213.01293012,20993504.283768043,100826717.29669817
2001-03-30,33.025413513183594,25.697196389457304,침체,매수,2000000,0.0,642025.8109401367,77833213.01293012,21203167.892435044,99036380.90536517
2001-04-06,30.32603073120117,25.083332948114204,침체,매수,2000000,0.0,707975.7540015043,75833213.01293012,21470094.47279494,97303307.48572506
2001-04-13,36.10441589355469,36.20258637419295,중립,관망,0,0.0,707975.7540015043,75833213.01293012,25561051.065023273,101394264.0779534
2001-04-20,40.82836532592773,35.547298460577736,중립,관망,0,0.0,707975.7540015043,75833213.01293012,28905492.726272557,104738705.73920268
2001-04-27,38.08675384521485,28.52065452490544,침체,매수,2000000,0.0,760487.4489631708,73833213.01293012,28964498.271035675,102797711.2839658
2001-05-04,40.659645080566406,33.17370257902449,중립,관망,0,0.0,760487.4489631708,73833213.01293012,30921149.763067883,104754362.77599801
2001-05-11,38.42420196533203,34.06375318474507,중립,관망,0,0.0,760487.4489631708,73833213.01293012,29221123.33106101,103054336.34399113
2001-05-18,40.52467346191406,41.207413969457455,중립,관망,0,0.0,760487.4489631708,73833213.01293012,30818505.541116532,104651718.55404666
2001-05-25,41.32605743408203,43.498517715209005,중립,관망,0,0.0,760487.4489631708,73833213.01293012,31427947.993750524,105261161.00668065
2001-06-01,38.84598159790039,44.44927004949192,중립,관망,0,0.0,760487.4489631708,73833213.01293012,29541881.447857544,103375094.46078767
2001-06-08,39.94261169433594,50.75524621036967,상승,매수,1000000,0.0,785523.3681877968,72833213.01293012,31375854.872352045,104209067.88528217
2001-06-15,35.93570709228516,47.29322418855774,중립,관망,0,0.0,785523.3681877968,72833213.01293012,28228337.673341937,101061550.68627205
2001-06-22,36.484031677246094,52.38761520993389,상승,매수,1000000,0.0,812932.6196884655,71833213.01293012,29659059.448180627,101492272.46111076
2001-06-29,38.550743103027344,53.3120090269018,상승,매수,1000000,0.0,838872.456887647,70833213.01293012,32339156.58168106,103172369.59461118
2001-07-06,35.13432312011719,52.82933950313499,상승,매수,1000000,0.0,867334.6531446007,69833213.01293012,30473215.956857163,100306428.96978728
2001-07-13,36.3996696472168,58.47455750657988,상승,매수,1000000,0.0,894807.4299497732,68833213.01293012,32570694.84804683,101403907.86097696
2001-07-20,35.13432312011719,48.45139528125702,중립,관망,0,0.0,894807.4299497732,68833213.01293012,31438453.37413696,100271666.38706708
2001-07-27,35.38739013671875,39.868067127441,중립,관망,0,0.0,894807.4299497732,68833213.01293012,31664899.62086726,100498112.63379738
2001-08-03,36.42498779296875,46.69584531875896,중립,관망,0,0.0,894807.4299497732,68833213.01293012,32593349.71297823,101426562.72590835
2001-08-10,33.97863006591797,36.648694042139,중립,관망,0,0.0,894807.4299497732,68833213.01293012,30404330.64249815,99237543.65542828
2001-08-17,31.85287475585937,36.81006904937281,중립,관망,0,0.0,894807.4299497732,68833213.01293012,28502188.996802535,97335402.00973266
2001-08-24,33.151954650878906,34.70961372018803,중립,관망,0,0.0,894807.4299497732,68833213.01293012,29664615.338964388,98497828.35189451
2001-08-31,30.899639129638672,29.603979354613003,침체,매수,2000000,0.0,959533.1049522887,66833213.012930125,29649226.67596743,96482439.68889755
2001-09-07,28.428009033203125,29.61376459745938,침체,매수,2000000,0.0,1029886.2555251641,64833213.012930125,29277615.775241107,94110828.78817123
2001-09-14,28.765426635742188,27.45833067913844,침체,매수,2000000,0.0,1099414.1657253527,62833213.012930125,31625117.526468337,94458330.53939846
2001-09-21,23.77997589111328,26.415707940564232,침체,매수,2000000,0.0,1183518.540311679,60833213.012930125,28144042.35529731,88977255.36822744
2001-09-28,24.446401596069336,26.751387711020755,침체,매수,2000000,0.0,1265330.1718575493,58833213.012930125,30932769.53285308,89765982.5457832
2001-10-05,26.7914981842041,27.530655019733288,침체,매수,2000000,0.0,1339980.7190665582,56833213.012930125,35900091.0017402,92733304.01467033
2001-10-12,29.14504051208496,38.07126314328325,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,39053792.34260757,95887005.3555377
2001-10-19,28.301469802856445,33.59536208643364,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,37923423.85707206,94756636.87000218
2001-10-26,30.37663459777832,40.66844404247776,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,40704104.67115308,97537317.68408321
2001-11-02,30.030780792236328,39.53184438637595,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,40240667.240111016,97073880.25304115
2001-11-09,31.82755851745605,41.274383649724406,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,42648314.74835372,99481527.76128384
2001-11-16,33.21098709106445,48.48180944672689,중립,관망,0,0.0,1339980.7190665582,56833213.012930125,44502082.36319473,101335295.37612486
2001-11-23,33.13508224487305,52.75961241633882,상승,매수,1000000,0.0,1370160.2125897629,55833213.012930125,45400371.33281453,101233584.34574465
2001-11-30,33.44719314575195,50.66361566659441,상승,매수,1000000,0.0,1400058.0875965632,54833213.012930125,46828013.27111436,101661226.28404447
2001-12-07,35.20181655883789,59.89142837596883,상승,매수,1000000,0.0,1428465.7124794596,53833213.012930125,50284587.97129161,104117800.98422173
2001-12-14,33.83523178100586,63.0976532960376,상승,매수,1000000,0.0,1458020.704343336,52833213.012930125,49332468.472962186,102165681.48589231
2001-12-21,33.30379104614258,60.89069330684255,상승,매수,1000000,0.0,1488047.3159868722,51833213.012930125,49557616.87840009,101390829.89133021
2001-12-28,34.02082443237305,80.90633019930989,과열,전량매도,0,50624596.48425332,0.0,102457809.49718344,0.0,102457809.49718344
2002-01-04,35.15119171142578,81.42644570845715,과열,관망,0,0.0,0.0,102457809.49718344,0.0,102457809.49718344
2002-01-11,34.4594612121582,74.93138354998672,과열,관망,0,0.0,0.0,102457809.49718344,0.0,102457809.49718344
2002-01-18,32.55302810668945,61.41243718029671,상승,매수,1000000,0.0,30719.108425876544,101457809.49718344,1000000.0,102457809.49718344
2002-01-25,32.755470275878906,65.5844397659857,상승,매수,1000000,0.0,61248.36022954852,100457809.49718344,2006218.8429453003,102464028.34012875
2002-02-01,32.17341613769531,57.0204410331424,상승,매수,1000000,0.0,92329.92134572638,99457809.49718344,2970568.981416732,102428378.47860017
