Ticker,Strategy,split_count,sell_rsi,extreme_split,recession_split,neutral_split,boom_split,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
SOXX,rsi,8,80,2,1,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,2,1,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,2,2,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,2,2,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,1,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,1,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,2,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,2,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,3,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,3,3,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,1,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,1,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,2,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,2,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,3,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,3,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,4,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,4,4,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,1,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,1,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,2,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,2,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,3,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,3,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,4,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,5,4,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,1,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,1,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,2,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,2,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,3,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,3,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,4,1,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,8,80,6,4,2,1,2105939629.0,2005.94,13.08,-69.88,83.33,24,355.6,32.73,15.42,32.61,17.18,65.6,보통,46.87
SOXX,rsi,10,80,2,1,1,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
SOXX,rsi,10,80,2,1,2,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
SOXX,rsi,10,80,2,2,1,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
SOXX,rsi,10,80,2,2,2,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
SOXX,rsi,10,80,3,1,1,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
SOXX,rsi,10,80,3,1,2,1,2085772354.0,1985.77,13.04,-69.89,83.33,24,355.6,33.34,15.55,32.18,18.18,63.6,보통,45.87
