검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
5,3.2%,관찰,SOXL,raor4_step24p,20,10.0,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
7,4.5%,관찰,SOXL,raor4_step24p,20,10.0,25.0,15347717659,15247.72,36.61,-55.22,83.92,1157,58,3.12,3.6,4.77,68.5,보통,15.74,109.5
6,3.9%,관찰,SOXL,raor4_step24p,20,10.0,22.5,14706560137,14606.56,36.25,-55.22,83.36,1136,66,3.12,3.4,4.35,68.5,보통,15.74,107.9
78,50.6%,유효 후보,SOXL,raor4_step24p,40,10.0,10.0,1389959049,1289.96,17.63,-38.82,86.96,690,81,6.0,4.9,3.53,95.5,낮음,2.27,92.28
85,55.2%,유효 후보,SOXL,raor4_step24p,40,10.5,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
92,59.7%,유효 후보,SOXL,raor4_step24p,40,11.0,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
99,64.3%,유효 후보,SOXL,raor4_step24p,40,11.5,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
106,68.8%,유효 후보,SOXL,raor4_step24p,40,12.0,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
113,73.4%,유효 후보,SOXL,raor4_step24p,40,12.5,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
120,77.9%,유효 후보,SOXL,raor4_step24p,40,13.0,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
127,82.5%,유효 후보,SOXL,raor4_step24p,40,13.5,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
134,87.0%,유효 후보,SOXL,raor4_step24p,40,14.0,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
141,91.6%,유효 후보,SOXL,raor4_step24p,40,14.5,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
148,96.1%,유효 후보,SOXL,raor4_step24p,40,15.0,10.0,1387583298,1287.58,17.62,-38.82,86.98,691,81,6.0,4.9,3.52,95.5,낮음,2.27,92.22
