검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
12,85.7%,관찰,SOXL,raor4_step24p,40,10.0,20.0,6254693842,6154.69,29.23,-48.38,87.64,728,79,2.0,3.0,6.02,92.6,낮음,3.71,65.0
13,92.9%,관찰,SOXL,raor4_step24p,40,10.0,22.5,5914606796,5814.61,28.78,-48.38,88.31,787,65,2.62,3.3,5.65,89.7,낮음,5.14,63.11
11,78.6%,관찰,SOXL,raor4_step24p,40,10.0,17.5,6888145317,6788.15,30.0,-50.22,86.08,668,95,2.0,2.8,5.67,86.4,낮음,6.8,61.7
8,57.1%,관찰,SOXL,raor4_step24p,40,10.0,10.0,2917993123,2817.99,23.26,-45.53,92.39,867,122,2.0,4.5,7.01,97.1,낮음,1.43,61.41
9,64.3%,관찰,SOXL,raor4_step24p,40,10.0,12.5,3803038832,3703.04,25.3,-48.62,85.4,644,118,2.0,2.8,4.79,92.1,낮음,3.95,58.23
10,71.4%,관찰,SOXL,raor4_step24p,40,10.0,15.0,5067814262,4967.81,27.55,-51.8,85.22,636,102,2.0,2.6,6.12,85.8,낮음,7.12,56.76
14,100.0%,관찰,SOXL,raor4_step24p,40,10.0,25.0,6294865241,6194.87,29.28,-52.54,89.16,812,56,2.62,3.6,6.14,81.4,낮음,9.29,56.51
5,35.7%,관찰,SOXL,raor4_step24p,20,10.0,20.0,17241210018,17141.21,37.61,-54.41,82.6,1086,85,2.0,3.2,4.77,70.6,보통,14.72,55.12
7,50.0%,관찰,SOXL,raor4_step24p,20,10.0,25.0,15197164636,15097.16,36.54,-55.22,83.92,1157,58,2.62,3.6,4.77,68.5,보통,15.74,52.08
6,42.9%,관찰,SOXL,raor4_step24p,20,10.0,22.5,14562296531,14462.3,36.18,-55.22,83.36,1136,66,2.62,3.4,4.35,68.5,보통,15.74,49.51
1,7.1%,관찰,SOXL,raor4_step24p,20,10.0,10.0,5283637510,5183.64,27.88,-62.75,81.62,1088,145,2.0,4.1,3.58,53.9,보통,23.03,21.49
4,28.6%,관찰,SOXL,raor4_step24p,20,10.0,17.5,12020075564,11920.08,34.57,-69.08,80.26,1018,97,2.0,2.9,4.47,42.7,높음,28.67,14.49
3,21.4%,관찰,SOXL,raor4_step24p,20,10.0,15.0,10614721813,10514.72,33.53,-69.08,78.96,1003,107,2.0,2.9,4.13,41.3,높음,29.36,10.77
2,14.3%,관찰,SOXL,raor4_step24p,20,10.0,12.5,7458227060,7358.23,30.64,-69.08,77.7,982,124,2.0,2.8,3.4,41.3,높음,29.36,3.23
