검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
14,9.1%,관찰,SOXL,raor4_step24p,20,10.5,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
21,13.6%,관찰,SOXL,raor4_step24p,20,11.0,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
28,18.2%,관찰,SOXL,raor4_step24p,20,11.5,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
35,22.7%,관찰,SOXL,raor4_step24p,20,12.0,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
42,27.3%,관찰,SOXL,raor4_step24p,20,12.5,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
49,31.8%,관찰,SOXL,raor4_step24p,20,13.0,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
56,36.4%,관찰,SOXL,raor4_step24p,20,13.5,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
63,40.9%,관찰,SOXL,raor4_step24p,20,14.0,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
70,45.5%,관찰,SOXL,raor4_step24p,20,14.5,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
77,50.0%,관찰,SOXL,raor4_step24p,20,15.0,25.0,2275289749,2175.29,45.74,-55.22,82.78,604,39,3.12,3.3,4.82,59.4,보통,20.32,121.01
7,4.5%,관찰,SOXL,raor4_step24p,20,10.0,25.0,2270416123,2170.42,45.7,-55.22,82.75,603,39,3.12,3.3,4.81,59.4,보통,20.32,120.9
26,16.9%,관찰,SOXL,raor4_step24p,20,11.5,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
33,21.4%,관찰,SOXL,raor4_step24p,20,12.0,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
40,26.0%,관찰,SOXL,raor4_step24p,20,12.5,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
47,30.5%,관찰,SOXL,raor4_step24p,20,13.0,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
54,35.1%,관찰,SOXL,raor4_step24p,20,13.5,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
61,39.6%,관찰,SOXL,raor4_step24p,20,14.0,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
68,44.2%,관찰,SOXL,raor4_step24p,20,14.5,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
75,48.7%,관찰,SOXL,raor4_step24p,20,15.0,20.0,2163395854,2063.4,44.86,-54.41,80.86,559,56,2.5,3.1,4.79,56.1,보통,21.97,120.52
5,3.2%,관찰,SOXL,raor4_step24p,20,10.0,20.0,2157180053,2057.18,44.81,-54.41,80.82,558,56,2.5,3.1,4.79,56.1,보통,21.97,120.41
12,7.8%,관찰,SOXL,raor4_step24p,20,10.5,20.0,2157180053,2057.18,44.81,-54.41,80.82,558,56,2.5,3.1,4.79,56.1,보통,21.97,120.41
19,12.3%,관찰,SOXL,raor4_step24p,20,11.0,20.0,2157180053,2057.18,44.81,-54.41,80.82,558,56,2.5,3.1,4.79,56.1,보통,21.97,120.41
89,57.8%,관찰,SOXL,raor4_step24p,40,10.5,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
96,62.3%,관찰,SOXL,raor4_step24p,40,11.0,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
103,66.9%,관찰,SOXL,raor4_step24p,40,11.5,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
110,71.4%,관찰,SOXL,raor4_step24p,40,12.0,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
117,76.0%,관찰,SOXL,raor4_step24p,40,12.5,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
124,80.5%,관찰,SOXL,raor4_step24p,40,13.0,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
131,85.1%,관찰,SOXL,raor4_step24p,40,13.5,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
138,89.6%,관찰,SOXL,raor4_step24p,40,14.0,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
145,94.2%,관찰,SOXL,raor4_step24p,40,14.5,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
152,98.7%,관찰,SOXL,raor4_step24p,40,15.0,20.0,1374313241,1274.31,37.15,-48.38,87.5,376,53,2.5,2.6,6.19,69.6,보통,15.22,114.18
82,53.2%,관찰,SOXL,raor4_step24p,40,10.0,20.0,1373124685,1273.12,37.13,-48.38,87.47,375,53,2.5,2.6,6.19,69.6,보통,15.22,114.15
13,8.4%,관찰,SOXL,raor4_step24p,20,10.5,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
20,13.0%,관찰,SOXL,raor4_step24p,20,11.0,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
27,17.5%,관찰,SOXL,raor4_step24p,20,11.5,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
34,22.1%,관찰,SOXL,raor4_step24p,20,12.0,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
41,26.6%,관찰,SOXL,raor4_step24p,20,12.5,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
48,31.2%,관찰,SOXL,raor4_step24p,20,13.0,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
55,35.7%,관찰,SOXL,raor4_step24p,20,13.5,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
62,40.3%,관찰,SOXL,raor4_step24p,20,14.0,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
69,44.8%,관찰,SOXL,raor4_step24p,20,14.5,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
76,49.4%,관찰,SOXL,raor4_step24p,20,15.0,22.5,1893268163,1793.27,42.55,-55.22,82.14,588,44,3.12,3.3,4.37,59.4,보통,20.32,113.12
6,3.9%,관찰,SOXL,raor4_step24p,20,10.0,22.5,1889418797,1789.42,42.51,-55.22,82.11,587,44,3.12,3.3,4.36,59.4,보통,20.32,113.02
81,52.6%,관찰,SOXL,raor4_step24p,40,10.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
88,57.1%,관찰,SOXL,raor4_step24p,40,10.5,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
95,61.7%,관찰,SOXL,raor4_step24p,40,11.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
102,66.2%,관찰,SOXL,raor4_step24p,40,11.5,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
109,70.8%,관찰,SOXL,raor4_step24p,40,12.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
116,75.3%,관찰,SOXL,raor4_step24p,40,12.5,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
123,79.9%,관찰,SOXL,raor4_step24p,40,13.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
130,84.4%,관찰,SOXL,raor4_step24p,40,13.5,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
137,89.0%,관찰,SOXL,raor4_step24p,40,14.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
144,93.5%,관찰,SOXL,raor4_step24p,40,14.5,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
151,98.1%,관찰,SOXL,raor4_step24p,40,15.0,17.5,1331690506,1231.69,36.63,-50.22,85.59,340,62,2.5,2.3,5.72,65.9,보통,17.04,112.12
83,53.9%,관찰,SOXL,raor4_step24p,40,10.0,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
90,58.4%,관찰,SOXL,raor4_step24p,40,10.5,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
97,63.0%,관찰,SOXL,raor4_step24p,40,11.0,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
104,67.5%,관찰,SOXL,raor4_step24p,40,11.5,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
111,72.1%,관찰,SOXL,raor4_step24p,40,12.0,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
118,76.6%,관찰,SOXL,raor4_step24p,40,12.5,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
125,81.2%,관찰,SOXL,raor4_step24p,40,13.0,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
132,85.7%,관찰,SOXL,raor4_step24p,40,13.5,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
139,90.3%,관찰,SOXL,raor4_step24p,40,14.0,22.5,1300266198,1200.27,36.24,-48.38,88.48,408,43,3.12,3.0,5.76,67.5,보통,16.27,109.9
