검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
81,52.6%,관찰,SOXL,raor4_step24p,40,10.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
88,57.1%,관찰,SOXL,raor4_step24p,40,10.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
95,61.7%,관찰,SOXL,raor4_step24p,40,11.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
102,66.2%,관찰,SOXL,raor4_step24p,40,11.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
109,70.8%,관찰,SOXL,raor4_step24p,40,12.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
116,75.3%,관찰,SOXL,raor4_step24p,40,12.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
123,79.9%,관찰,SOXL,raor4_step24p,40,13.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
130,84.4%,관찰,SOXL,raor4_step24p,40,13.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
137,89.0%,관찰,SOXL,raor4_step24p,40,14.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
144,93.5%,관찰,SOXL,raor4_step24p,40,14.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
151,98.1%,관찰,SOXL,raor4_step24p,40,15.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
26,16.9%,관찰,SOXL,raor4_step24p,20,11.5,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
33,21.4%,관찰,SOXL,raor4_step24p,20,12.0,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
40,26.0%,관찰,SOXL,raor4_step24p,20,12.5,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
47,30.5%,관찰,SOXL,raor4_step24p,20,13.0,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
54,35.1%,관찰,SOXL,raor4_step24p,20,13.5,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
61,39.6%,관찰,SOXL,raor4_step24p,20,14.0,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
68,44.2%,관찰,SOXL,raor4_step24p,20,14.5,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
75,48.7%,관찰,SOXL,raor4_step24p,20,15.0,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
5,3.2%,관찰,SOXL,raor4_step24p,20,10.0,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
12,7.8%,관찰,SOXL,raor4_step24p,20,10.5,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
19,12.3%,관찰,SOXL,raor4_step24p,20,11.0,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
89,57.8%,관찰,SOXL,raor4_step24p,40,10.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
96,62.3%,관찰,SOXL,raor4_step24p,40,11.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
103,66.9%,관찰,SOXL,raor4_step24p,40,11.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
110,71.4%,관찰,SOXL,raor4_step24p,40,12.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
117,76.0%,관찰,SOXL,raor4_step24p,40,12.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
124,80.5%,관찰,SOXL,raor4_step24p,40,13.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
131,85.1%,관찰,SOXL,raor4_step24p,40,13.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
138,89.6%,관찰,SOXL,raor4_step24p,40,14.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
145,94.2%,관찰,SOXL,raor4_step24p,40,14.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
152,98.7%,관찰,SOXL,raor4_step24p,40,15.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
82,53.2%,관찰,SOXL,raor4_step24p,40,10.0,20.0,5337845142,5237.85,27.96,-52.93,87.6,726,79,2.5,3.0,5.96,83.2,낮음,8.39,109.02
80,51.9%,관찰,SOXL,raor4_step24p,40,10.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
87,56.5%,관찰,SOXL,raor4_step24p,40,10.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
94,61.0%,관찰,SOXL,raor4_step24p,40,11.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
101,65.6%,관찰,SOXL,raor4_step24p,40,11.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
108,70.1%,관찰,SOXL,raor4_step24p,40,12.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
115,74.7%,관찰,SOXL,raor4_step24p,40,12.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
122,79.2%,관찰,SOXL,raor4_step24p,40,13.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
129,83.8%,관찰,SOXL,raor4_step24p,40,13.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
