검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
89,57.8%,관찰,SOXL,raor4_step24q,40,10.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
96,62.3%,관찰,SOXL,raor4_step24q,40,11.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
103,66.9%,관찰,SOXL,raor4_step24q,40,11.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
110,71.4%,관찰,SOXL,raor4_step24q,40,12.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
117,76.0%,관찰,SOXL,raor4_step24q,40,12.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
124,80.5%,관찰,SOXL,raor4_step24q,40,13.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
131,85.1%,관찰,SOXL,raor4_step24q,40,13.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
138,89.6%,관찰,SOXL,raor4_step24q,40,14.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
145,94.2%,관찰,SOXL,raor4_step24q,40,14.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
152,98.7%,관찰,SOXL,raor4_step24q,40,15.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
82,53.2%,관찰,SOXL,raor4_step24q,40,10.0,20.0,6277340628,6177.34,29.25,-48.38,87.64,728,79,2.5,3.0,6.02,92.6,낮음,3.71,117.64
26,16.9%,관찰,SOXL,raor4_step24q,20,11.5,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
33,21.4%,관찰,SOXL,raor4_step24q,20,12.0,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
40,26.0%,관찰,SOXL,raor4_step24q,20,12.5,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
47,30.5%,관찰,SOXL,raor4_step24q,20,13.0,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
54,35.1%,관찰,SOXL,raor4_step24q,20,13.5,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
61,39.6%,관찰,SOXL,raor4_step24q,20,14.0,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
68,44.2%,관찰,SOXL,raor4_step24q,20,14.5,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
75,48.7%,관찰,SOXL,raor4_step24q,20,15.0,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
5,3.2%,관찰,SOXL,raor4_step24q,20,10.0,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
12,7.8%,관찰,SOXL,raor4_step24q,20,10.5,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
19,12.3%,관찰,SOXL,raor4_step24q,20,11.0,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
