검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
47,67.1%,관찰,SOXL,raor4_step24w,40,10.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
54,77.1%,관찰,SOXL,raor4_step24w,40,11.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
61,87.1%,관찰,SOXL,raor4_step24w,40,11.5,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
68,97.1%,관찰,SOXL,raor4_step24w,40,12.0,20.0,6282774199,6182.77,29.26,-48.38,87.65,729,79,2.5,3.0,6.03,92.6,낮음,3.71,117.65
40,57.1%,관찰,SOXL,raor4_step24w,40,10.0,20.0,6277340628,6177.34,29.25,-48.38,87.64,728,79,2.5,3.0,6.02,92.6,낮음,3.71,117.64
26,37.1%,관찰,SOXL,raor4_step24w,20,11.5,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
33,47.1%,관찰,SOXL,raor4_step24w,20,12.0,20.0,17416459595,17316.46,37.69,-54.41,82.61,1087,85,2.5,3.2,4.77,70.6,보통,14.72,116.19
5,7.1%,관찰,SOXL,raor4_step24w,20,10.0,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
12,17.1%,관찰,SOXL,raor4_step24w,20,10.5,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
19,27.1%,관찰,SOXL,raor4_step24w,20,11.0,20.0,17366419170,17266.42,37.66,-54.41,82.6,1086,85,2.5,3.2,4.77,70.6,보통,14.72,116.14
39,55.7%,관찰,SOXL,raor4_step24w,40,10.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
46,65.7%,관찰,SOXL,raor4_step24w,40,10.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
53,75.7%,관찰,SOXL,raor4_step24w,40,11.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
60,85.7%,관찰,SOXL,raor4_step24w,40,11.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
67,95.7%,관찰,SOXL,raor4_step24w,40,12.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
41,58.6%,관찰,SOXL,raor4_step24w,40,10.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
48,68.6%,관찰,SOXL,raor4_step24w,40,10.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
55,78.6%,관찰,SOXL,raor4_step24w,40,11.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
62,88.6%,관찰,SOXL,raor4_step24w,40,11.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
69,98.6%,관찰,SOXL,raor4_step24w,40,12.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
38,54.3%,관찰,SOXL,raor4_step24w,40,10.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
45,64.3%,관찰,SOXL,raor4_step24w,40,10.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
52,74.3%,관찰,SOXL,raor4_step24w,40,11.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
59,84.3%,관찰,SOXL,raor4_step24w,40,11.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
66,94.3%,관찰,SOXL,raor4_step24w,40,12.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
