검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
39,55.7%,관찰,SOXL,raor4_step24w,40,10.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
46,65.7%,관찰,SOXL,raor4_step24w,40,10.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
53,75.7%,관찰,SOXL,raor4_step24w,40,11.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
60,85.7%,관찰,SOXL,raor4_step24w,40,11.5,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
67,95.7%,관찰,SOXL,raor4_step24w,40,12.0,17.5,5492744193,5392.74,28.18,-52.06,85.95,669,95,2.5,2.8,5.44,83.2,낮음,8.39,109.97
26,37.1%,관찰,SOXL,raor4_step24w,20,11.5,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
33,47.1%,관찰,SOXL,raor4_step24w,20,12.0,20.0,12393581173,12293.58,34.81,-54.56,82.24,1087,85,2.5,3.2,4.5,70.9,보통,14.56,109.16
5,7.1%,관찰,SOXL,raor4_step24w,20,10.0,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
12,17.1%,관찰,SOXL,raor4_step24w,20,10.5,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
19,27.1%,관찰,SOXL,raor4_step24w,20,11.0,20.0,12359795004,12259.8,34.79,-54.56,82.23,1086,85,2.5,3.2,4.49,70.9,보통,14.56,109.1
47,67.1%,관찰,SOXL,raor4_step24w,40,10.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
54,77.1%,관찰,SOXL,raor4_step24w,40,11.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
61,87.1%,관찰,SOXL,raor4_step24w,40,11.5,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
68,97.1%,관찰,SOXL,raor4_step24w,40,12.0,20.0,5342262275,5242.26,27.96,-52.93,87.62,727,79,2.5,3.0,5.97,83.2,낮음,8.39,109.03
40,57.1%,관찰,SOXL,raor4_step24w,40,10.0,20.0,5337845142,5237.85,27.96,-52.93,87.6,726,79,2.5,3.0,5.96,83.2,낮음,8.39,109.02
38,54.3%,관찰,SOXL,raor4_step24w,40,10.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
45,64.3%,관찰,SOXL,raor4_step24w,40,10.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
52,74.3%,관찰,SOXL,raor4_step24w,40,11.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
59,84.3%,관찰,SOXL,raor4_step24w,40,11.5,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
66,94.3%,관찰,SOXL,raor4_step24w,40,12.0,15.0,4080100782,3980.1,25.84,-52.4,84.93,637,102,2.5,2.6,5.77,85.0,낮음,7.48,105.98
43,61.4%,관찰,SOXL,raor4_step24w,40,10.5,10.0,2382870632,2282.87,21.72,-45.66,92.14,865,122,2.5,4.5,6.59,97.3,낮음,1.37,105.9
50,71.4%,관찰,SOXL,raor4_step24w,40,11.0,10.0,2382870632,2282.87,21.72,-45.66,92.14,865,122,2.5,4.5,6.59,97.3,낮음,1.37,105.9
57,81.4%,관찰,SOXL,raor4_step24w,40,11.5,10.0,2382870632,2282.87,21.72,-45.66,92.14,865,122,2.5,4.5,6.59,97.3,낮음,1.37,105.9
36,51.4%,관찰,SOXL,raor4_step24w,40,10.0,10.0,2379677120,2279.68,21.71,-45.66,92.14,865,122,2.5,4.5,6.59,97.3,낮음,1.37,105.88
64,91.4%,관찰,SOXL,raor4_step24w,40,12.0,10.0,2366427354,2266.43,21.67,-45.66,92.17,868,122,2.5,4.5,6.56,97.3,낮음,1.37,105.8
41,58.6%,관찰,SOXL,raor4_step24w,40,10.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
48,68.6%,관찰,SOXL,raor4_step24w,40,10.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
55,78.6%,관찰,SOXL,raor4_step24w,40,11.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
62,88.6%,관찰,SOXL,raor4_step24w,40,11.5,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
69,98.6%,관찰,SOXL,raor4_step24w,40,12.0,22.5,5034749680,4934.75,27.49,-52.93,88.52,784,64,3.12,3.3,5.64,81.1,낮음,9.45,104.89
42,60.0%,관찰,SOXL,raor4_step24w,40,10.0,25.0,5173104259,5073.1,27.71,-53.15,89.19,814,55,3.12,3.7,5.86,80.7,낮음,9.65,103.7
65,92.9%,관찰,SOXL,raor4_step24w,40,12.0,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
37,52.9%,관찰,SOXL,raor4_step24w,40,10.0,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
